평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,자료구입비(천원)
2024,LIBTYPE000002,2050144002,충청남도공주교육지원청유구도서관,충남,공주시,89985,3,336,23764,55000
2024,LIBTYPE000002,2050144003,충청남도금산교육지원청금산도서관,충남,금산군,82243,3,991,34274,62392
2024,LIBTYPE000002,2050144004,충청남도당진교육지원청당진도서관,충남,당진시,95973,5,30747,92005,68360
2024,LIBTYPE000002,2050144005,충청남도보령교육지원청보령도서관,충남,보령시,104682,2,1213,44483,65000
2024,LIBTYPE000002,2050144006,충청남도보령교육지원청웅천도서관,충남,보령시,72855,3,3306,9766,35000
2024,LIBTYPE000002,2050144007,충청남도부여교육지원청부여도서관,충남,부여군,85116,2,1420,41811,54860
2024,LIBTYPE000002,2050144008,충청남도서산교육지원청해미도서관,충남,서산시,80399,3,740,17386,67520
2024,LIBTYPE000002,2050144009,충청남도서천교육지원청서천도서관,충남,서천군,78425,3,1103,11218,67480
2024,LIBTYPE000002,2050144010,충청남도아산교육지원청아산도서관,충남,아산시,119772,5,12214,76362,75000
2024,LIBTYPE000002,2050144012,충청남도예산교육지원청예산도서관,충남,예산군,90379,3,1128,27763,65000
2024,LIBTYPE000002,2050144013,충청남도천안교육지원청성환도서관,충남,천안시,123173,4,1906,67580,55000
2024,LIBTYPE000002,2050144014,충청남도청양교육지원청청양도서관,충남,청양군,91266,3,957,18533,65000
2024,LIBTYPE000002,2050144019,충청남도태안교육지원청태안도서관,충남,태안군,89635,3,1427,72363,75000
2024,LIBTYPE000002,2050144020,충청남도홍성교육지원청홍성도서관,충남,홍성군,93933,4,2278,67402,76000
2024,LIBTYPE000002,2050147013,경상북도교육청 상주도서관화령분관,경북,상주시,68989,3,393,13465,20000
2024,LIBTYPE000002,2050147007,경상북도교육청 안동도서관용상분관,경북,안동시,97100,4,2472,75351,72180
2024,LIBTYPE000002,2050147010,경상북도교육청 안동도서관풍산분관,경북,안동시,98352,3,721,23471,56080
2024,LIBTYPE000002,2050147014,경상북도교육청 점촌도서관가은분관,경북,문경시,44529,3,414,8650,34000
2024,LIBTYPE000002,2050147015,대구광역시교육청삼국유사군위도서관,대구,군위군,83537,6,1074,31209,25900
2024,LIBTYPE000002,2050144011,세종특별자치시교육청평생교육학습관,세종,세종시,150313,4,1914,61155,85624
2024,LIBTYPE000002,2050146022,전라남도교육청순천만생태문화교육원,전남,순천시,37185,4,1361,57226,41117
2024,LIBTYPE000002,2050148026,경상남도교육청 김해지혜의바다도서관,경남,김해시,107348,9,12213,314477,182354
2024,LIBTYPE000002,2050148025,경상남도교육청 마산지혜의바다도서관,경남,창원시,136097,10,12247,309961,154480
2024,LIBTYPE000002,2030141002,한아름도서관 (수원청소년문화센터내),경기,수원시,42552,1,12631,17053,5000
2024,LIBTYPE000002,2050124005,광주광역시교육청송정다가치문화도서관,광주,광산구,153666,7,3025,73006,105490
2024,LIBTYPE000002,2050124002,광주광역시교육청학생독립운동기념회관,광주,서구,245471,10,47603,159382,133500
2024,LIBTYPE000002,2050147011,경상북도교육청 영주선비도서관풍기분관,경북,영주시,83733,3,916,34432,36244
2024,LIBTYPE000002,2050111017,서울특별시교육청고덕평생학습관(도서관),서울,강동구,178791,14,18313,420190,215035
2024,LIBTYPE000002,2050111021,서울특별시교육청노원평생학습관(도서관),서울,노원구,169304,16,13583,354628,220574
2024,LIBTYPE000002,2050111018,서울특별시교육청마포평생학습관(도서관),서울,마포구,254177,24,10113,215815,241184
2024,LIBTYPE000002,2050145017,전북특별자치도교육청군산학생교육문화관,전북,군산시,101684,8,43361,67266,82200
2024,LIBTYPE000002,2050145018,전북특별자치도교육청김제학생교육문화관,전북,김제시,104202,4,638,7640,20700
2024,LIBTYPE000002,2050145003,전북특별자치도교육청남원학생교육문화관,전북,남원시,102279,4,1378,30621,49500
2024,LIBTYPE000002,2050145010,전북특별자치도교육청부안학생교육문화관,전북,부안군,72463,5,994,24788,60000
